slug,name,region,latitude,longitude,break_type,orientation_deg
praia-das-macas,Praia das Maçãs,Lisbon,38.8249143,-9.4699155,,312.6
praia-da-arriba,Praia da Arriba,Lisbon,38.7201095,-9.4791295,,289.3
praia-da-grota,Praia da Grota,Lisbon,38.7498918,-9.4714728,,251.5
praia-da-foz-do-lizandro,Praia da Foz do Lizandro,Lisbon,38.9419992,-9.4136284,,
praia-grande-do-rodizio,Praia Grande do Rodízio,Lisbon,38.8130674,-9.4785455,,291.2
praia-pequena-do-rodizio,Praia Pequena do Rodízio,Lisbon,38.8196114,-9.4744653,,301.6
praia-do-magoito,Praia do Magoito,Lisbon,38.860534,-9.4509305,,290.1
praia-da-aguda,Praia da Aguda,Lisbon,38.8519484,-9.4556881,,289.1
praia-da-samarra,Praia da Samarra,Lisbon,38.896793,-9.4349532,,321.9
praia-da-vigia,Praia da Vigia,Lisbon,38.9191457,-9.426392,,287.9
praia-de-sao-juliao,Praia de São Julião,Lisbon,38.9295132,-9.4210038,,293.0
praia-da-empa,Praia da Empa,Lisbon,38.9796907,-9.4223077,,269.6
praia-dos-tombadoiros,Praia dos Tombadoiros,Lisbon,38.9792334,-9.4223326,,257.3
praia-de-sao-sebastiao,Praia de São Sebastião,Lisbon,38.9726717,-9.4203971,,271.3
praia-dos-pescadores,Praia dos Pescadores,Lisbon,38.9643167,-9.4190212,,242.6
praia-do-cavalinho,Praia do Cavalinho,Lisbon,38.9928731,-9.4239159,,244.8
praia-das-moitas,Praia das Moitas,Lisbon,38.7014903,-9.4120089,,150.6
praia-da-poca,Praia da Poça,Lisbon,38.701766,-9.3916409,,208.6
praia-da-azarujinha,Praia da Azarujinha,Lisbon,38.7006014,-9.3892406,,227.6
